person_id,frame_number,pixel_x,pixel_y,world_x,world_y
5,19,34.584,1032.428,-7.6727,18.3469
6,19,605.048,704.82,-1.062,3.3148
7,19,342.443,771.014,-5.7419,7.3962
8,19,501.432,674.876,-3.3011,-0.1946
9,19,711.037,719.853,0.8555,5.027
10,19,161.06,825.026,-8.3572,10.2772
11,19,134.154,822.804,-8.8811,10.0818
12,19,164.829,738.145,-9.9643,4.1068
13,19,362.864,670.306,-6.6487,-1.6911
20,19,866.667,653.751,4.4254,-0.092
27,19,65.996,862.218,-9.4159,12.0682
26,19,113.089,800.641,-9.6889,8.6545
1,20,135.528,1548.014,-4.1964,26.1043
2,20,472.869,806.981,-3.209,10.013
3,20,287.496,775.841,-6.727,7.5449
4,20,719.259,768.722,0.7427,8.4206
5,20,34.407,1032.3,-7.6761,18.3434
6,20,604.947,705.692,-1.0646,3.3904
7,20,342.192,771.667,-5.7397,7.4405
8,20,500.384,676.122,-3.3174,-0.0664
9,20,711.057,720.385,0.8529,5.0682
10,20,160.925,825.65,-8.3499,10.3126
11,20,134.328,821.919,-8.893,10.0304
12,20,165.423,738.542,-9.9413,4.1447
13,20,362.777,671.107,-6.6373,-1.5955
20,20,866.385,653.974,4.4163,-0.0708
27,20,66.235,863.26,-9.3941,12.1209
26,20,113.312,801.113,-9.6751,8.6859
1,21,134.939,1546.55,-4.2038,26.0924
2,21,472.928,808.89,-3.2004,10.1198
3,21,286.523,776.217,-6.7407,7.5676
4,21,719.211,769.465,0.7384,8.4659
5,21,34.627,1033.342,-7.6632,18.3719
6,21,604.786,706.22,-1.0682,3.4355
7,21,342.013,772.197,-5.7374,7.4765
8,21,498.97,677.1,-3.3434,0.0298
9,21,711.091,721.636,0.8466,5.1647
10,21,160.887,826.399,-8.3389,10.3552
11,21,134.174,821.461,-8.9037,10.0031
12,21,165.81,738.921,-9.9235,4.1799
13,21,362.117,671.793,-6.6423,-1.5186
20,21,866.263,655.307,4.3919,0.0653
27,21,66.344,863.385,-9.3901,12.1273
26,21,113.251,801.653,-9.6655,8.7209
1,22,134.026,1547.656,-4.2071,26.1021
2,22,472.73,810.538,-3.197,10.2107
3,22,285.651,776.51,-6.7535,7.5849
4,22,719.149,769.967,0.7351,8.4963
5,22,34.724,1034.066,-7.6548,18.3916
6,22,604.618,706.701,-1.0718,3.4764
7,22,341.978,772.601,-5.7338,7.5042
8,22,497.796,677.804,-3.3655,0.0978
9,22,711.242,723.107,0.8411,5.2778
10,22,160.868,827.082,-8.3285,10.3941
11,22,133.867,821.25,-8.913,9.9899
12,22,165.949,739.695,-9.902,4.2484
13,22,361.342,672.028,-6.6576,-1.4963
20,22,866.279,655.878,4.3828,0.1238
27,22,66.341,863.325,-9.3912,12.1243
26,22,113.65,802.059,-9.6497,8.7485
1,23,133.443,1541.435,-4.2261,26.0501
2,23,472.884,812.088,-3.1885,10.2965
3,23,284.873,778.406,-6.7435,7.7123
4,23,718.867,770.311,0.7291,8.5164
5,23,34.525,1034.328,-7.6547,18.3987
6,23,604.466,707.21,-1.0752,3.5197
7,23,342.19,772.997,-5.7256,7.5321
8,23,496.516,678.177,-3.392,0.1295
9,23,711.202,725.292,0.8285,5.4431
10,23,160.689,827.921,-8.3187,10.4412
11,23,134.037,821.233,-8.9101,9.9893
12,23,165.604,740.146,-9.8991,4.2862
13,23,360.822,672.483,-6.6629,-1.4461
20,23,866.168,656.729,4.3668,0.2097
27,23,66.162,863.033,-9.3992,12.1094
26,23,113.847,803.168,-9.624,8.8208
1,24,132.845,1538.139,-4.2382,26.0224
2,24,473.53,813.64,-3.1721,10.3829
3,24,284.041,780.006,-6.7384,7.8184
4,24,718.192,770.445,0.7179,8.5227
5,24,34.196,1034.038,-7.6616,18.3907
6,24,604.443,707.713,-1.076,3.563
7,24,342.399,773.621,-5.7151,7.5755
8,24,495.487,678.328,-3.4141,0.139
9,24,711.436,726.228,0.8275,5.5144
10,24,160.571,828.516,-8.3116,10.4746
11,24,133.96,821.594,-8.9053,10.0103
12,24,165.101,740.35,-9.9057,4.3016
13,24,360.683,673.058,-6.6567,-1.3789
20,24,866.397,657.133,4.3646,0.252
27,24,66.17,863.229,-9.3958,12.1192
26,24,113.614,803.016,-9.6315,8.8102
30,24,703.955,677.17,0.982,1.2848
1,25,132.436,1536.53,-4.2449,26.0089
2,25,474.368,814.96,-3.1536,10.4566
3,25,283.178,780.878,-6.7434,7.8745
4,25,717.534,770.589,0.7069,8.5296
5,25,34.115,1034.586,-7.6573,18.4055
6,25,604.442,708.271,-1.0764,3.611
7,25,343.061,774.211,-5.6965,7.618
8,25,494.771,678.652,-3.4282,0.1689
9,25,711.641,728.841,0.817,5.7099
10,25,160.564,828.871,-8.3062,10.4946
11,25,133.621,822.526,-8.8956,10.0642
12,25,164.97,740.362,-9.9084,4.302
13,25,360.878,673.674,-6.6415,-1.3049
20,25,866.738,657.649,4.3626,0.3062
27,25,66.239,863.492,-9.3901,12.1325
26,25,112.832,803.535,-9.6364,8.8414
30,25,702.169,678.645,0.937,1.4179
1,26,131.782,1529.35,-4.2673,25.9477
2,26,474.972,816.369,-3.1387,10.5341
3,26,282.115,781.874,-6.7506,7.9382
4,26,716.476,770.706,0.6897,8.5337
5,26,34.032,1035.546,-7.6489,18.4315
6,26,604.475,708.751,-1.0762,3.6523
7,26,343.133,774.737,-5.6897,7.654
8,26,494.187,678.903,-3.4397,0.192
9,26,711.765,727.593,0.8258,5.6177
10,26,160.619,829.354,-8.2978,10.5219
11,26,133.834,823.281,-8.8788,10.1088
12,26,164.77,740.613,-9.9069,4.323
13,26,361.045,674.428,-6.6248,-1.215
20,26,866.679,658.216,4.3523,0.363
27,26,66.027,863.825,-9.3881,12.1487
26,26,111.737,804.826,-9.6322,8.9211
30,26,701.17,679.077,0.9144,1.454
1,27,131.074,1523.048,-4.288,25.8933
2,27,475.554,817.706,-3.1244,10.6072
3,27,281.583,782.703,-6.7499,7.9921
4,27,715.668,771.705,0.6725,8.592
5,27,33.908,1036.344,-7.6426,18.4531
6,27,604.532,709.317,-1.0755,3.701
7,27,343.03,775.138,-5.6874,7.6809
8,27,493.335,679.538,-3.4548,0.2541
9,27,711.921,726.705,0.8334,5.552
10,27,160.588,829.643,-8.2939,10.5381
11,27,134.29,823.981,-8.8586,10.1507
12,27,164.857,741.245,-9.8901,4.3784
13,27,361.035,674.975,-6.616,-1.151
20,27,866.524,659.486,4.3289,0.4894
27,27,66.047,863.928,-9.386,12.1539
26,27,111.991,805.313,-9.6177,8.9529
1,28,130.354,1521.186,-4.2976,25.8774
2,28,476.328,819.475,-3.1056,10.7033
3,28,281.44,783.298,-6.7449,8.0314
4,28,715.114,772.105,0.662,8.6146
5,28,33.705,1036.732,-7.6414,18.4635
6,28,604.577,709.789,-1.075,3.7414
7,28,342.5,775.668,-5.6918,7.7151
8,28,492.898,680.511,-3.4585,0.3545
9,28,712.03,725.279,0.843,5.4454
10,28,160.516,830.099,-8.2882,10.5636
11,28,134.399,823.59,-8.8632,10.1282
12,28,165.166,742.434,-9.8553,4.4827
13,28,361.002,675.648,-6.6057,-1.0728
20,28,865.953,659.694,4.3147,0.5068
27,28,65.772,864.119,-9.3875,12.1629
26,28,112.113,806.279,-9.5965,9.0149
30,28,694.257,682.224,0.7588,1.7171
1,29,129.422,1518.332,-4.3112,25.8528
2,29,477.456,820.267,-3.085,10.7477
3,29,281.057,783.799,-6.7456,8.0636
4,29,714.995,772.222,0.6596,8.6214
5,29,33.62,1037.277,-7.6371,18.4782
6,29,604.352,710.254,-1.0797,3.7799
7,29,342.556,775.861,-5.6887,7.7284
8,29,491.241,679.701,-3.5006,0.2581
9,29,711.959,726.572,0.8347,5.5422
10,29,160.267,830.435,-8.2874,10.5818
11,29,134.334,824.369,-8.8512,10.1734
12,29,165.032,742.676,-9.8526,4.5029
13,29,360.888,676.569,-6.5933,-0.9667
20,29,865.252,659.474,4.3051,0.4806
27,29,65.347,864.978,-9.3803,12.2048
26,29,111.6,806.7,-9.5982,9.0401
30,29,691.921,682.87,0.7091,1.7656
1,30,128.707,1514.333,-4.3264,25.8178
2,30,478.729,823.197,-3.0545,10.9047
3,30,280.337,784.701,-6.7475,8.1213
4,30,714.824,772.065,0.6576,8.6114
5,30,33.704,1038.229,-7.6268,18.5038
6,30,604.349,710.959,-1.0803,3.8397
7,30,342.393,775.87,-5.6917,7.7284
8,30,489.157,678.558,-3.5548,0.1229
9,30,711.95,728.677,0.8232,5.6989
10,30,160.095,830.939,-8.2828,10.6096
11,30,133.716,826.899,-8.8198,10.3178
12,30,164.509,742.237,-9.8746,4.4626
13,30,360.64,677.439,-6.5851,-0.8681
20,30,864.874,661.048,4.2728,0.6351
27,30,65.21,865.267,-9.3777,12.219
26,30,110.786,806.698,-9.6139,9.0376
30,30,690.33,684.213,0.6702,1.8839
1,31,128.447,1509.708,-4.3403,25.7768
2,31,479.632,825.679,-3.0317,11.0356
3,31,279.701,785.979,-6.743,8.2038
4,31,714.38,771.557,0.6529,8.5794
5,31,33.633,1038.71,-7.623,18.5166
6,31,604.283,711.69,-1.0821,3.9012
7,31,342.657,776.016,-5.6852,7.7392
8,31,487.941,678.215,-3.5845,0.0782
9,31,711.955,729.258,0.8202,5.7419
10,31,159.899,831.607,-8.276,10.6464
11,31,133.44,827.602,-8.813,10.3575
12,31,164.198,742.331,-9.8794,4.4693
13,31,360.325,678.537,-6.5749,-0.7444
20,31,864.668,661.552,4.2609,0.6838
27,31,65.064,866.02,-9.3676,12.256
26,31,110.357,807.293,-9.6105,9.0741
30,31,689.462,684.733,0.6503,1.9281
1,32,127.737,1504.574,-4.3587,25.7311
2,32,480.708,827.336,-3.0093,11.1232
3,32,279.245,787.123,-6.7368,8.2776
4,32,713.83,771.915,0.6427,8.5995
5,32,33.56,1039.062,-7.6205,18.5261
6,32,604.223,712.261,-1.0836,3.949
7,32,342.947,775.542,-5.6848,7.7081
8,32,486.566,677.253,-3.622,-0.0344
9,32,711.884,727.693,0.8274,5.6256
10,32,159.946,832.202,-8.2661,10.6796
11,32,133.593,828.391,-8.7971,10.4028
12,32,164.404,743.105,-9.8567,4.5369
13,32,360.717,679.218,-6.5543,-0.664
20,32,864.778,662.104,4.2543,0.7388
27,32,65.038,866.178,-9.3654,12.2637
26,32,110.19,808.002,-9.5999,9.1185
30,32,688.042,686.29,0.6139,2.0662
42,32,170.923,782.261,-8.902,7.5979
1,33,127.745,1502.943,-4.363,25.7164
2,33,481.665,828.565,-2.9904,11.1881
3,33,278.656,788.989,-6.724,8.3977
4,33,713.089,772.147,0.63,8.6115
5,33,33.574,1039.682,-7.6143,18.5427
6,33,604.053,712.663,-1.0872,3.982
7,33,342.919,775.366,-5.6871,7.6961
8,33,485.51,678.82,-3.6352,0.1274
9,33,711.785,729.009,0.8186,5.7229
10,33,159.936,832.72,-8.2584,10.7083
11,33,133.541,829.008,-8.7878,10.4379
12,33,164.513,743.572,-9.8434,4.5775
13,33,360.941,680.034,-6.5357,-0.5699
27,33,64.896,866.644,-9.36,12.2865
26,33,109.6,808.944,-9.593,9.1761
30,33,685.54,687.263,0.5598,2.1435
42,33,170.298,782.93,-8.902,7.6425
1,34,126.887,1503.685,-4.3668,25.7235
2,34,482.545,829.281,-2.9744,11.2265
3,34,278.385,790.598,-6.7086,8.5011
4,34,712.788,772.626,0.6232,8.6396
5,34,33.515,1040.219,-7.6099,18.557
6,34,603.984,713.441,-1.0891,4.0469
7,34,343.36,776.197,-5.6703,7.7537
8,34,484.021,677.705,-3.6764,-0.0021
9,34,711.803,730.768,0.8095,5.8525
10,34,160.026,833.369,-8.2469,10.7445
11,34,133.362,831.013,-8.7579,10.5509
12,34,164.094,743.506,-9.8543,4.5699
13,34,360.967,681.001,-6.5195,-0.4606
27,34,64.669,866.394,-9.368,12.2737
26,34,108.662,809.502,-9.6001,9.2085
30,34,684.693,688.105,0.5389,2.217
42,34,169.736,784.082,-8.8918,7.7207
20,34,865.117,663.082,4.2453,0.837
1,35,125.911,1500.573,-4.3818,25.6958
2,35,484.083,831.331,-2.9441,11.3335
3,35,278.082,791.279,-6.7057,8.5441
4,35,712.849,773.08,0.6222,8.6671
5,35,33.288,1041.407,-7.6012,18.5886
6,35,603.964,714.211,-1.09,4.111
7,35,343.305,776.247,-5.6708,7.7569
8,35,482.671,676.776,-3.7136,-0.1115
9,35,711.769,731.023,0.8076,5.871
10,35,160.13,834.26,-8.2316,10.7939
11,35,133.308,832.256,-8.7384,10.6207
12,35,164.231,743.82,-9.8439,4.5975
13,35,361.123,681.861,-6.502,-0.363
27,35,64.642,866.09,-9.3736,12.2587
26,35,108.574,809.948,-9.5932,9.2362
30,35,683.406,688.45,0.512,2.242
42,35,169.425,785.438,-8.8729,7.8133
1,36,125.381,1496.753,-4.3958,25.6612
2,36,485.378,832.248,-2.9213,11.3823
3,36,277.512,792.347,-6.7027,8.611
4,36,712.382,774.06,0.6106,8.7246
5,36,32.931,1042.534,-7.5947,18.6184
6,36,604.116,714.928,-1.0876,4.1712
7,36,343.552,776.44,-5.6642,7.7708
8,36,481.655,677.099,-3.7343,-0.083
10,36,160.064,835.015,-8.2214,10.8352
11,36,133.196,833.002,-8.7282,10.6621
12,36,163.803,744.706,-9.833,4.6711
13,36,361.136,682.659,-6.4891,-0.2738
27,36,64.822,866.552,-9.3628,12.2818
26,36,108.429,810.97,-9.5762,9.2996
30,36,682.152,688.241,0.4887,2.216
42,36,169.557,786.515,-8.8504,7.8877
20,36,865.247,663.685,4.2383,0.8966
1,37,124.82,1497.644,-4.3972,25.6696
2,37,487.046,834.263,-2.8895,11.4864
3,37,276.268,793.031,-6.717,8.651
4,37,711.996,774.44,0.6029,8.7463
5,37,32.793,1043.24,-7.5897,18.637
6,37,604.242,715.509,-1.0857,4.2199
7,37,343.843,776.785,-5.6553,7.7949
8,37,480.788,678.308,-3.7453,0.0419
10,37,159.746,835.757,-8.2158,10.8751
11,37,133.866,833.677,-8.7052,10.7013
12,37,163.252,745.496,-9.827,4.7358
13,37,360.422,683.263,-6.4967,-0.2114
27,37,65.31,868.481,-9.3223,12.3776
26,37,108.758,811.279,-9.564,9.3197
30,37,681.127,687.743,0.4712,2.1644
42,37,169.639,786.919,-8.8414,7.9156
20,37,865.4,664.411,4.2298,0.9683
9,37,711.639,734.666,0.7862,6.135
1,38,124.303,1495.088,-4.4077,25.6464
2,38,488.593,836.557,-2.859,11.6031
3,38,275.323,793.512,-6.7284,8.6789
4,38,711.517,774.929,0.5933,8.7743
5,38,33.02,1043.576,-7.5837,18.646
6,38,604.325,716.099,-1.0845,4.269
7,38,343.97,777.229,-5.6484,7.8252
8,38,479.869,677.187,-3.7743,-0.0853
10,38,159.664,836.33,-8.2087,10.9063
11,38,134.477,834.15,-8.6867,10.729
12,38,163.157,745.565,-9.8275,4.7413
13,38,360.106,683.908,-6.4941,-0.1421
27,38,65.876,870.349,-9.2819,12.4697
